10011482	#N/A
10012542	cachecache
10012862	guess
10014562	levis
10014803	hco
10015022	calvinklein
10015482	zara
10015758	#N/A
10017400	calvinklein
10018389	#N/A
10018837	ugg
10018888	ugg
10018889	#N/A
10018938	clot
10019291	#N/A
10019639	herschel
100110389	tommy_hilfiger
100110392	#N/A
100110393	tommy_hilfiger
100110538	ugg
100110795	polo_ralph_lauren
100110848	polo_ralph_lauren
100111511	#N/A
100116662	#N/A
100141665	skechers
100151663	comme_moi
1001101668	victoriassecret
1001106686	evisu
1001116703	#N/A
1001121723	polo_ralph_lauren
1001136697	#N/A
1001141698	polo_ralph_lauren
1001141699	calvinklein
1001141706	#N/A
1001161702	#N/A
1001161703	#N/A
1001171698	#N/A
1001171712	it
1001171714	izzue
1001196708	anf
1001201707	bab
1001201708	camper
1001201709	fivecm
1001206707	chocoolate
1001206708	fingercroxx
1001206709	it
1001206710	aape
1001276712	victoriassecret
1001276716	undergarden
1001281707	gap
1001281717	clot
1001326748	#N/A
1001336707	it
1001361707	vgrass
1001381707	mango
1001381708	zuczug
1001381744	#N/A
1001381748	#N/A
1001386714	an_ko_rau
1001386716	ca
1001386717	polo_ralph_lauren
1001386718	ca
1001406707	gap
1001416707	gap
1001416709	gap
1001426707	#N/A
1001426709	#N/A
1001426738	#N/A
1001471730	#N/A
1001471731	#N/A
1001471732	calvinklein
1001471733	#N/A
1001471734	#N/A
1001471771	kidsaround
1001471772	#N/A
1001481758	carhartt_wip
1001486760	gap
1001486763	g2000
1001506758	undefeated
1001506759	bape
1001506772	duozoulu
1001521760	skechers
1001521803	esprit
1001521811	#N/A
1001531762	calvinklein
1001531773	#N/A
1001531778	gap
1001531779	#N/A
1001531780	#N/A
1001531783	gap
1001531785	#N/A
1001541759	blueerdos
1001556759	zadigvoltaire
1001566758	zuczug
1001581761	#N/A
1001586760	#N/A
1001586766	polo_ralph_lauren
1001586786	stussy
1001591759	herschel
1001591768	#N/A
1001591769	cachecache
1001601764	#N/A
1001601768	#N/A
1001601787	seven_modifier
1001621759	#N/A
1001631763	acupuncture
1001631767	ca
1001636760	#N/A
1001641760	#N/A
1001641765	alphaindustries
1001641766	farfetch
1001641768	blueerdos
1001641772	#N/A
1001641799	#N/A
1001641820	yoursun
1001641864	evisu
1001646793	#N/A
1001646794	#N/A
1001646795	#N/A
1001651769	#N/A
1001651797	#N/A
1001666765	#N/A
1001666766	#N/A
1001666767	#N/A
1001666768	#N/A
1001666794	musium_div
1001666802	#N/A
1001666803	#N/A
1001666807	#N/A
1001666808	calvinklein
1001666815	#N/A
1001671761	#N/A
1001671762	#N/A
1001671764	#N/A
1001671765	#N/A
1001671766	#N/A
1001671767	#N/A
1001671775	#N/A
1001681764	#N/A
1001681775	falconeri
1001681776	intimissimi
1001681777	calzedonia
1001681778	#N/A
1001681779	#N/A
1001681788	#N/A
1001681789	#N/A
1001681802	#N/A
1001681812	#N/A
1001686766	#N/A
1001686769	#N/A
1001706766	#N/A
1001706773	#N/A
1001706775	#N/A
1001716765	#N/A
1001721766	#N/A
1001721767	#N/A
1001721768	#N/A
1001721769	#N/A
1001721770	#N/A
1001721771	#N/A
1001721772	#N/A
1001721773	#N/A
1001721774	#N/A
1001721775	#N/A
1001721783	#N/A
